timestamp,company,title,location,url,match_score,apply_type,apply_url,status,resume_uploaded,fields_filled,screenshot,notes
2026-06-16T04:21:42,Atlassian,Principal Data Engineer,"Bengaluru, Karnataka, India (Remote)",https://www.linkedin.com/jobs/view/4418926891/,80,not_found,https://www.linkedin.com/jobs/view/4418926891/,apply_button_not_found,False,,C:\job-agent\application_screenshots\Atlassian_Principal_Data_Engineer.png,No visible Apply or Easy Apply button found.
2026-06-16T04:21:46,Airbnb,"Senior Data Engineer, Payments","Bengaluru, Karnataka, India (Remote)",https://www.linkedin.com/jobs/view/4401368620/,80,not_found,https://www.linkedin.com/jobs/view/4401368620/,apply_button_not_found,False,,C:\job-agent\application_screenshots\Airbnb_Senior_Data_Engineer_Payments.png,No visible Apply or Easy Apply button found.
2026-06-16T04:21:50,Kenvue,Lead Data Engineer,"Bengaluru, Karnataka, India (Hybrid)",https://www.linkedin.com/jobs/view/4417896119/,80,not_found,https://www.linkedin.com/jobs/view/4417896119/,apply_button_not_found,False,,C:\job-agent\application_screenshots\Kenvue_Lead_Data_Engineer.png,No visible Apply or Easy Apply button found.
2026-06-16T04:21:54,Morgan Stanley,Lead Data Engineer- Vice President - Data Engineering,"Mumbai, Maharashtra, India (On-site)",https://www.linkedin.com/jobs/view/4419170247/,70,not_found,https://www.linkedin.com/jobs/view/4419170247/,apply_button_not_found,False,,C:\job-agent\application_screenshots\Morgan_Stanley_Lead_Data_Engineer_Vice_President_Data_Engineering.png,No visible Apply or Easy Apply button found.
2026-06-16T04:21:59,Lam Research,"Data Engineer, Lead","Bengaluru, Karnataka, India (Hybrid)",https://www.linkedin.com/jobs/view/4377937255/,70,not_found,https://www.linkedin.com/jobs/view/4377937255/,apply_button_not_found,False,,C:\job-agent\application_screenshots\Lam_Research_Data_Engineer_Lead.png,No visible Apply or Easy Apply button found.
2026-06-16T04:24:00,Atlassian,Principal Data Engineer,"Bengaluru, Karnataka, India (Remote)",https://www.linkedin.com/jobs/view/4418926891/,80,external,https://careers-apac-atlassian.icims.com/jobs/25153/principal-data-engineer/job?iis=LinkedIn&iisn=LinkedIn_Job_Ad,ready_for_review,False,,C:\job-agent\application_screenshots\Atlassian_Principal_Data_Engineer.png,Opened external apply domain: careers-apac-atlassian.icims.com | No visible resume upload input was found.
2026-06-16T04:24:11,Airbnb,"Senior Data Engineer, Payments","Bengaluru, Karnataka, India (Remote)",https://www.linkedin.com/jobs/view/4401368620/,80,external,https://careers.airbnb.com/positions/7256787/?gh_src=34ewj2,ready_for_review,False,,C:\job-agent\application_screenshots\Airbnb_Senior_Data_Engineer_Payments.png,Opened external apply domain: careers.airbnb.com | No visible resume upload input was found. | Stopped before final submit button: Apply Now
2026-06-16T04:24:22,Kenvue,Lead Data Engineer,"Bengaluru, Karnataka, India (Hybrid)",https://www.linkedin.com/jobs/view/4417896119/,80,external,https://kenvue.wd5.myworkdayjobs.com/kenvue/job/Asia-Pacific-India-Karnataka-Bangalore/Lead-Data-Engineer_2607045713W/apply?source=LinkedIn,ready_for_review,False,,C:\job-agent\application_screenshots\Kenvue_Lead_Data_Engineer.png,Opened external apply domain: kenvue.wd5.myworkdayjobs.com | No visible resume upload input was found.
2026-06-16T04:24:35,Morgan Stanley,Lead Data Engineer- Vice President - Data Engineering,"Mumbai, Maharashtra, India (On-site)",https://www.linkedin.com/jobs/view/4419170247/,70,external,https://morganstanley.eightfold.ai/careers/job/549797841663?source=LinkedIn,ready_for_review,True,,C:\job-agent\application_screenshots\Morgan_Stanley_Lead_Data_Engineer_Vice_President_Data_Engineering.png,Opened external apply domain: morganstanley.eightfold.ai | Stopped before final submit button: Apply Now
2026-06-16T04:24:47,Lam Research,"Data Engineer, Lead","Bengaluru, Karnataka, India (Hybrid)",https://www.linkedin.com/jobs/view/4377937255/,70,external,https://careers.lamresearch.com/careers/job/1099551794391?src=Eightfold,ready_for_review,True,,C:\job-agent\application_screenshots\Lam_Research_Data_Engineer_Lead.png,Opened external apply domain: careers.lamresearch.com
2026-06-16T04:29:40,Atlassian,Principal Data Engineer,"Bengaluru, Karnataka, India (Remote)",https://www.linkedin.com/jobs/view/4418926891/,80,external,https://careers-apac-atlassian.icims.com/jobs/25153/principal-data-engineer/job?iis=LinkedIn&iisn=LinkedIn_Job_Ad,account_required,False,,C:\job-agent\application_screenshots\Atlassian_Principal_Data_Engineer.png,Opened external apply domain: careers-apac-atlassian.icims.com | Page state: account_required
2026-06-16T04:29:55,Airbnb,"Senior Data Engineer, Payments","Bengaluru, Karnataka, India (Remote)",https://www.linkedin.com/jobs/view/4401368620/,80,external,https://careers.airbnb.com/positions/7256787/?gh_src=34ewj2,ready_for_review,False,,C:\job-agent\application_screenshots\Airbnb_Senior_Data_Engineer_Payments.png,Opened external apply domain: careers.airbnb.com | Clicked external start button: Apply Now | No visible resume upload or safe start action found at step 2.
2026-06-16T04:30:08,Kenvue,Lead Data Engineer,"Bengaluru, Karnataka, India (Hybrid)",https://www.linkedin.com/jobs/view/4417896119/,80,external,https://kenvue.wd5.myworkdayjobs.com/kenvue/job/Asia-Pacific-India-Karnataka-Bangalore/Lead-Data-Engineer_2607045713W/apply?source=LinkedIn,account_required,False,,C:\job-agent\application_screenshots\Kenvue_Lead_Data_Engineer.png,Opened external apply domain: kenvue.wd5.myworkdayjobs.com | Clicked cookie button: Accept Cookies | Page state: account_required
2026-06-16T12:05:43,NextGen Healthcare India,Principal Data Engineer,"Bengaluru, Karnataka, India (Remote)",https://www.linkedin.com/jobs/view/4413017650/,85,external,https://nextgen.wd5.myworkdayjobs.com/NextGen_Careers/job/Work-From-Anywhere-India/Principal-Data-Engineer_R-101621,account_required,False,,C:\job-agent\application_screenshots\NextGen_Healthcare_India_Principal_Data_Engineer.png,Opened external apply domain: nextgen.wd5.myworkdayjobs.com | Page state: account_required
2026-06-16T12:05:55,Atlassian,Senior Data Engineer,"Bengaluru, Karnataka, India (Remote)",https://www.linkedin.com/jobs/view/4421635983/,85,external,https://careers-apac-atlassian.icims.com/jobs/25136/senior-data-engineer/job?iis=LinkedIn&iisn=LinkedIn_Job_Ad&mobile=false&width=1325&height=500&bga=true&needsRedirect=false&jan1offset=330&jun1offset=330,account_required,False,,C:\job-agent\application_screenshots\Atlassian_Senior_Data_Engineer.png,Opened external apply domain: careers-apac-atlassian.icims.com | Page state: account_required
2026-06-16T12:06:07,Clarivate,Lead Product AI Data Engineer & Architect,India (Hybrid),https://www.linkedin.com/jobs/view/4418951174/,85,external,https://careers.clarivate.com/job/CLACLAGBJREQ135721EXTERNALENGB/Lead-Product-AI-Data-Engineer-Architect?utm_source=linkedin&utm_medium=phenom-feeds,ready_for_review,False,full_name,C:\job-agent\application_screenshots\Clarivate_Lead_Product_AI_Data_Engineer_Architect.png,Opened external apply domain: careers.clarivate.com | Stopped before final submit button: Submit | Stopped before final submit button: Submit
2026-06-16T12:06:23,Sezzle,Principal Engineer - Data Infrastructure,India (Remote),https://www.linkedin.com/jobs/view/4383827359/,85,external,https://job-boards.greenhouse.io/sezzle/jobs/7659866003?gh_src=6d383ce23us,ready_for_review,True,"city, country, email, first_name, last_name, phone, years_of_experience",C:\job-agent\application_screenshots\Sezzle_Principal_Engineer_Data_Infrastructure.png,Opened external apply domain: job-boards.greenhouse.io | Stopped before final submit button: Submit application | Stopped before final submit button: Submit application
2026-06-16T12:06:56,Dr. Martens plc,Lead Data Engineer,"Bengaluru, Karnataka, India (On-site)",https://www.linkedin.com/jobs/view/4415708703/,85,external,https://jobs.drmartens.com/job/36QfKlvCJHOVDvsUqRbkbq,ready_for_review,False,,C:\job-agent\application_screenshots\Dr_Martens_plc_Lead_Data_Engineer.png,Opened external apply domain: jobs.drmartens.com | Clicked cookie button: Accept All | Clicked external start button: Apply now | No visible resume upload or safe start action found at step 2.
2026-06-19T11:38:24,Qualcomm,Lead Databricks Data Engineer,"Bengaluru, Karnataka, India (On-site)",https://www.linkedin.com/jobs/view/4409931505/,85,external,https://careers.qualcomm.com/careers/job/446718405395?hl=en-US&utm_source=linkedin&domain=qualcomm.com&source=APPLICANT_SOURCE-6-2,account_required,False,,C:\job-agent\application_screenshots\Qualcomm_Lead_Databricks_Data_Engineer.png,Opened external apply domain: careers.qualcomm.com | Page state: account_required
2026-06-19T11:38:38,Target,Lead Data Engineer,"Bengaluru, Karnataka, India (On-site)",https://www.linkedin.com/jobs/view/4392996596/,85,external,https://corporate.target.com/jobs/w75/66/lead-engineer-target-india?utm_source=LinkedIn%28Organic%29&utm_medium=Organic&utm_campaign=Feed%7CAll+Locations%7CAll+Roles&source=srm_linkedin_org,ready_for_review,False,"email, first_name, last_name",C:\job-agent\application_screenshots\Target_Lead_Data_Engineer.png,Opened external apply domain: corporate.target.com | No further safe external action found at step 1.
2026-06-19T11:38:53,Okta,Principal Data Platform Engineer (Bengaluru),"Bengaluru, Karnataka, India (On-site)",https://www.linkedin.com/jobs/view/4375939665/,85,external,https://www.okta.com/company/careers/business-technology/principal-data-platform-engineer-bengaluru-7648974/?gh_src=3nyoysv01us,ready_for_review,True,"email, first_name, full_name, last_name, phone",C:\job-agent\application_screenshots\Okta_Principal_Data_Platform_Engineer_Bengaluru.png,Opened external apply domain: www.okta.com | No further safe external action found at step 1.
2026-06-19T11:39:06,Clario,Lead Data Engineer (SQL & Python),"Bengaluru, Karnataka, India (Hybrid)",https://www.linkedin.com/jobs/view/4408789406/,85,external,https://clarioclinical.wd1.myworkdayjobs.com/clarioclinical_careers/job/Bangalore-India/Lead--Data-Delivery-Engineer_R16805-1,account_required,False,,C:\job-agent\application_screenshots\Clario_Lead_Data_Engineer_SQL_Python.png,Opened external apply domain: clarioclinical.wd1.myworkdayjobs.com | Clicked cookie button: Accept Cookies | Page state: account_required
2026-06-19T11:39:23,Freshworks,Principal Engineer - Data Engineering,"Hyderabad, Telangana, India (Hybrid)",https://www.linkedin.com/jobs/view/4430400788/,85,easy_apply,https://www.linkedin.com/jobs/view/4430400788/,ready_for_review,False,city,C:\job-agent\application_screenshots\Freshworks_Principal_Engineer_Data_Engineering.png,No safe next/review button found at step 1.
